Virus_label	adeno-associated dependoparvovirus a	alphacoronavirus 1	alphapapillomavirus 10	alphapapillomavirus 7	alphapapillomavirus 9	alphapolyomavirus muris	alphapolyomavirus nonihominis	alphapolyomavirus quintihominis	alphapolyomavirus terdecihominis	andes orthohantavirus	argentinian mammarenavirus	aura virus	avian coronavirus	avian leukosis virus	avian metapneumovirus	avian orthoavulavirus 1	bat calicivirus	bat mastadenovirus a	Betacoronavirus 1 (bovine coronavirus)	Betacoronavirus 1 (human coronavirus oc43)	Betacoronavirus 1 (porcine hemagglutinating encephalomyelitis virus)	Betapolyomavirus hominis	Betapolyomavirus macacae	Betapolyomavirus secuhominis	bluetongue virus	borna disease virus	bovine alphaherpesvirus 1	bovine alphaherpesvirus 5	bovine immunodeficiency virus	bovine leukemia virus	bovine mastadenovirus b	bovine nebovirus	bovine respirovirus 3	bovine torovirus	brazilian mammarenavirus	bundibugyo ebolavirus	canid alphaherpesvirus 1	canine mastadenovirus a	canine morbillivirus	capuchin monkey hepatitis b virus	cardiovirus a	cardiovirus b	carnivore amdoparvovirus 1	carnivore protoparvovirus 1	caviid betaherpesvirus 2	cedar henipavirus	cercopithecine alphaherpesvirus 2	cetacean morbillivirus	chapare mammarenavirus	chikungunya virus	chimpanzee adenovirus	coronavirus hku15	crimean-congo hemorrhagic fever orthonairovirus	dabie bandavirus	deltaarterivirus hemfev	dengue virus	dobrava-belgrade orthohantavirus	dolphin pegivirus	eastern equine encephalitis virus	enterovirus a (non SCARB2-users: a2-6, a8, a10, a12)	enterovirus a (SCARB2-users: a7, A14, A16, A71)	enterovirus b (CAR users: b1-6, swine vesicular disease virus)	enterovirus b (CD55 users: e3, e5-7, e11-13, e18-21, e24, e25, e29-e33)	enterovirus b (integrin users: a9, e1, e8, e9)	enterovirus c (no-poliovirus)	enterovirus c (poliovirus)	enterovirus d	equid alphaherpesvirus 1	equid alphaherpesvirus 4	equine infectious anemia virus	equine rhinitis a virus	equine torovirus	european brown hare syndrome virus	feline calicivirus	feline immunodeficiency virus	feline leukemia virus	feline morbillivirus	feline parvovirus	foot-and-mouth disease virus	gallid alphaherpesvirus 2	getah virus	ghanaian bat henipavirus	gibbon ape leukemia virus	guanarito mammarenavirus	hantaan orthohantavirus	hendra henipavirus	hepacivirus c	hepatitis b virus	hepatovirus a	hom-1 vesivirus	human alphaherpesvirus 1	human alphaherpesvirus 2	human alphaherpesvirus 3	human betaherpesvirus 5	human betaherpesvirus 6a	human betaherpesvirus 6b	human betaherpesvirus 7	human coronavirus 229e	human coronavirus hku1	human coronavirus nl63	human gammaherpesvirus 4	human gammaherpesvirus 8	human immunodeficiency virus 1	human immunodeficiency virus 2	human mastadenovirus a	human mastadenovirus b	human mastadenovirus c	human mastadenovirus d	human mastadenovirus e	human mastadenovirus f	human mastadenovirus g	human metapneumovirus	human orthopneumovirus	human orthorubulavirus 2	human papillomavirus	human polyomavirus 12	human respirovirus 1	human respirovirus 3	influenza a virus	influenza b virus	influenza c virus	influenza d virus	jaagsiekte sheep retrovirus	japanese encephalitis virus	koala retrovirus	la crosse orthobunyavirus	lassa mammarenavirus	latino mammarenavirus	lloviu cuevavirus	lujo mammarenavirus	lymphocytic choriomeningitis mammarenavirus	lyssavirus helsinki	macacine alphaherpesvirus 1	machupo mammarenavirus	mammalian orthoreovirus	marburg marburgvirus	mason-pfizer monkey virus	mayaro virus	measles morbillivirus	middle east respiratory syndrome-related coronavirus	mobala mammarenavirus	mokola lyssavirus	moloney murine sarcoma virus	mopeia mammarenavirus	mouse mammary tumor virus	mumps orthorubulavirus	murid betaherpesvirus 1	murid gammaherpesvirus 4	murine coronavirus	murine leukemia virus (SLC-users: amphotropic, ecotropic, moloney)	murine leukemia virus (XPR1 users: polytropic, xenotropic)	murine respirovirus	murine rotavirus	murray valley encephalitis virus	myxoma virus	new york hantavirus	nipah henipavirus	norwalk virus (murine norovirus)	norwalk virus (norwalk virus)	oliveros mammarenavirus	onyong-nyong virus	orf virus	oropouche orthobunyavirus	ovine enzootic nasal tumor virus	pangolin coronavirus	parechovirus 1	parechovirus a	pestivirus a	pestivirus b	pestivirus c	pestivirus h	phocine morbillivirus	porcine circovirus 2	porcine circovirus-like virus p1	porcine epidemic diarrhea virus	porcine mastadenovirus b	porcine reproductive and respiratory syndrome virus	porcine torovirus	primate erythroparvovirus 1	primate t-lymphotropic virus 1	primate t-lymphotropic virus 3	prospect hill orthohantavirus	puma lentivirus	punta toro phlebovirus	puumala orthohantavirus	rabbit hemorrhagic disease virus	rabbit vesivirus	rabies lyssavirus	rd114 retrovirus	recovirus a	reston ebolavirus	rhesus macaque recovirus	rhinovirus a	rhinovirus b	rhinovirus c	rift valley fever phlebovirus	rinderpest morbillivirus	rodent hepacivirus	rodent protoparvovirus 1	ross river virus	rotavirus a (human rotavirus wa)	rotavirus a (porcine rotavirus ym)	rousettus bat coronavirus hku9	rubivirus rubellae	saimiriine alphaherpesvirus 1	saimiriine gammaherpesvirus 2	sangassou orthohantavirus	sapelovirus a	sapporo virus	sars-like coronavirus wiv16	semliki forest virus	senecavirus a	seoul orthohantavirus	serra do navio mammarenavirus	severe acute respiratory syndrome-related coronavirus	simian immunodeficiency virus	simian retrovirus 5	sin nombre orthohantavirus	sindbis virus	small ruminant morbillivirus	sudan ebolavirus	suid alphaherpesvirus 1	swine acute diarrhea syndrome coronavirus	tacaribe mammarenavirus	tai forest ebolavirus	tamiami mammarenavirus	tembusu virus	tick-borne encephalitis virus	toscana phlebovirus	tula orthohantavirus	tylonycteris bat coronavirus hku4	ungulate bocaparvovirus 1	usutu virus	uukuniemi uukuvirus	vaccinia virus	venezuelan equine encephalitis virus	vesicular stomatitis virus	visna-maedi virus	west nile virus	western equine encephalitis virus	whitewater arroyo mammarenavirus	woolly monkey hepatitis b virus	yellow fever virus	zaire ebolavirus	zika virus
heparan_S_Heparin	1	1		1	1			1		0			1						1	1	1				1		1	1									1					1								1									1		1	1	1	1			1	1	1										1	1	1				1			1				1	1	1			1			1		1										1	1					1						1							1					1											1	1						1								1					1						1				1																	1												1													1			1				1	1	1							1				1				1	1	
chondroitin_S_dermatan_S				1				1																																										1						1																																																									1		1																																																										1																																																																	1							
HBGAs																	1															1																																																																																																																															1																											1				1											1																																												
sialic_acids	1	1				1	1	1	1				1			1			1	1	1	1	1	1	1						1	0		1				0				1																							1		1	1			1	1		1																			1						1									1			1			1		1	1	1	1	1	1	1																		1						1			1			1						1																	1			1																					1		1							1	1						1																	1													
cholesterol																																	1																																																																																																																				1																																																															1																1																	
ACE2																																																																																																				1																																																																	1																																						0							1					1																														
ACKR2																																																																																																							1	1																																																																																																																																													
ACKR3																																																																																																							1																																																																																																																																														
ADAM17																																																																																																																			1																																																																																																																																		
ADAM9																																									1																																																																																																																																																																																																												
ANPEP		1											1																																							1																																										1				1																																																																													1																																																																						
ANTXR1																																																																																																																																																																																																																				1																																	
ANXA1																																																																																											1																																																																																																																																																										
ANXA2					1																																																								1																																																				1		1																																																																								1																																																										
ANXA5																																																																																								1																															1																																																																																																																														
APLNR																																																																																																							1																																																																																																																																														
APOE																																																																																							1																																																																																																																																																														
ASGR1																																																																																																																																								1																																																																																																													
ATP5F1B																																																		1																																						1																																																																																																																																																													
AXL																																																		1						1																																																									1														1				1					1																																																							1																								1				1		1														1									1	1
BSG																																																		1									1																																			1																																												1																							1																																																						1				1																					1					
CACNA1C																																																																																																																							1																																																																																																																														
CCR1																																																																																																								1																																																			1																																																																																										
CCR2																																																																																																							1	1																																																																																																																																													
CCR3																																																																																																							1	1																																																																																																																																													
CCR5																													1																																																																										1	1																																																			1																																																													1																													
CCR8																																																																																																								1																																																																																																																																													
CCRL2																																																																																																								1																																																																																																																																													
CD151					1																																																																																																														1																																																														1																																																																				
CD163																																																							1																																																																																																																										1																																																																				
CD164																																																																																																																																			1																																																																																																																		
CD207																																																																																																						1																	1																																																																																																																		1						1						
CD209		1									1	1	1																																					1			1	1		1					1																										1				1			1						1		1	1									1	1						1					1		1	1				1					1			1																																				1									1												1															1				1	1			1										1					1					1					1	1
CD300A																																																								1																																																																																																																																																																																							1				1		
CD300LD																																																																																																																																																														1																																																																																							
CD300LF																																																																																																																																																														1																																																																																							
CD36																																																																																							1																																																																																																																																																														
CD4																																																																																																	1						1	1																																																																																																																1																						1							
CD44																																																								1																																																																																																																																																																																													
CD46																																																			1																																											1	1	1										1		1																																																												1	1	1	1																																																																										
CD5																																																																																							1																																																																																																																																																														
CD55																																																									1					1	1		1		1																		1																																																																																																				1																						1						1					1																											
CD63																																																																																														1																					1															1																																																																																																																			
CD80																																																																																																										1																																																																																																																																											
CD81																																																																																							1																																																																																	1																																																																													
CD86																																																																																																										1																																																																																																																																											
CD9	1																																						0																																																																												1																									1																																																																																																									
CDHR3																																																																																																																																																																																																			1																																																		
CEACAM1																																																																																																																																																					1																																																																																																
CEACAM5																																																																																																																																												1																																																																																																									
CEACAM6																																																																																																																							1																																																																																																																														
CHRM3																																																																																																																																																																														1																																																																							
CLDN1																																																								1																															1																																																																																																																																																														
CLDN6																																																																																							1																																																																																																																																																														
CLDN9																																																																																							1																																																																																																																																																														
CLEC10A																																																																																																																																																																																																																																	1																			1	
CLEC4G																																																																																																																												1			1				1																																																																																				1																													1	
CLEC4M											1	1	1																																									1		1																															1							1				1		1			1	1								1							1					1												1																																							1																					1															1				1				1										1					1					1					1	1
CLEC5A																																																								1																																																																				1																																																																																																																									
CR1																																																																																																					1																																																																																																																																																
CR2																																																																																																					1																																																																																																																																																
CX3CR1																																																																																																																	1																																																																																																																																				
CXADR																		1													0							1													1											1					0																																						1		1	1	1	1																																																																																	1	1																																																					
CXCR4																																																																											1																						0						1	1																																																			1																																																													1																						1							
CXCR6																																																																																																							1	1																																																																																																																1																													
DAG1											0																																																																									0																																											1	1		0	1			0							1			1																1																																																																0																					
DPP4																																																																																																																																												1																																																															0																												1														
EFNA1																																														1																																																																																																																																																																																																							
EFNA2																																														1																																																																																																																																																																																																							
EFNA5																																														1																																																																																																																																																																																																							
EFNB1																																														1																																																																																																																																																																																																							
EFNB2																																														1																																				1				1																																																																							1																																																																																								
EFNB3																																														0																																								1																																																																							1																																																																																								
EGFR	1																																1																																																							1						1																			1		1				1																																																										1																																																																				1
EPHA2																																																																																																					1	1																																																																																																																																															
EPHA4																																																																																																						1																																																																																																																																															
EPHA5																																																																																																						1																																																																																																																																															
EPHA7																																																																																																						1																																																																																																																																															
ERBB2																																																																																																																																																																																																																													1																								
F11R																																																																										1																1																																													1																																																																		1	0																																											
FCGR2A																																											1													1																																																																																																																																																																																													
FCGRT																																																															1	1																																																																																																																																																																																					
FCN1																																																																																																																																																																																																																																																				1	
FFAR2																																																																																																																							1																																																																																																																														
FGFR1	1																																																																																																																																																																																																																																																				
FGFR2																																																																																																																			1																																																																																																																																		
FLNA		1																																																																																																																																																																																																																																																			
FLVCR1																																																																												1																																																																																																																																																																									
FLVCR2																																																																												1																																																																																																																																																																									
FN1																																																													1																																																																																																																																																																																								
FOLR1																																																																																																																																								1																																																																																																												1	
FTL																																																																																								1																																																																																																																																																													
FUZ																																																																																																																																																																																																																											1																										
GAS6																																																								1																																																																																																																																																																			1																										
GPR15																																																																																																								1																																																																																																																1																													
GRIK1																										1																																																																																																																																																																																																																											
GRK2																																																																																																																																																																																																																																																			1		
GRM2																																																																																																																																																																																												1																											1																														
GYPA																																																																																																																																																																																																																																								1													
HAVCR1										1	1																																							1						1			1																										1				1																														0					1			1									1																																									1																							1																			1		1			1				1											1				1	1	1
HAVCR2																																																								1																																																																																																																																																																																													
HBEGF																																																																																																																																																																												1																																																																									
HLA_complex																				1			1																																													1	1																														1		1																		1																																																																																																																														
